Name;Height;Sport
Christian Fromm;204;volleyball
Tobias Krick;211;volleyball
Ruben Schott;192;volleyball
Moritz Reichert;195;volleyball
David Sossenheimer;193;volleyball
Marcus Böhme;211;volleyball
Julian Zenger;190;volleyball
Lukas Kampa;195;volleyball
Anton Brehme;206;volleyball
Simon Hirsch;206;volleyball
Moritz Karlitzek;191;volleyball
Noah Baxpöhler;209;volleyball
Jan Zimmermann;191;volleyball
Jakob Günthör;210;volleyball
Linus Weber;199;volleyball
Antonio Metzner;207;handball
Johannes Bitter;205;handball
Marian Michalczik;199;handball
Andreas Wolff;198;handball
Fabian Böhm;198;handball
Julius Kühn;198;handball
Sebastian Firnhaber;198;handball
Lukas Stutzke;195;handball
Johannes Golla;195;handball
Silvio Heinevetter;194;handball
Philipp Weber;194;handball
Moritz Preuss;193;handball
Kai Häfner;192;handball
Paul Drux;192;handball
Juri Knorr;190;handball
David Schmidt;190;handball
Marcel Schiller;189;handball
Patrick Groetzki;189;handball
Uwe Gensheimer;188;handball
Tobias Reichmann;188;handball
Timo Kastening;178;handball
Bernd Leno;190;soccer
Manuel Neuer;193;soccer
Kevin Trapp;189;soccer
Matthias Ginter;188;soccer
Benjamin Henrichs;183;soccer
Robin Koch;190;soccer
Philipp Max;175;soccer
Antonio Rüdiger;190;soccer
Niklas Stark;188;soccer
Niklas Süle;195;soccer
Jonathan Tah;194;soccer
Felix Uduokhai;192;soccer
Nadiem Amiri;180;soccer
Julian Brandt;183;soccer
Mahmoud Dahoud;176;soccer
Serge Gnabry;175;soccer
Leon Goretzka;189;soccer
?lkay Gündo?an;180;soccer
Toni Kroos;183;soccer
Florian Neuhaus;182;soccer
Leroy Sané;183;soccer
Luca Waldschmidt;177;soccer
Timo Werner;180;soccer
Maodo Lo;192;basketball
Niels Giffey;200;basketball
Johannes Voigtman;211;basketball
Ismet Akpinar;190;basketball
Daniel Theis;204;basketball
Robin Benzing;210;basketball
Dennis Schröder;188;basketball
Paul Zipser;203;basketball
Danilo Barthel;207;basketball
Maximilian Kleber;207;basketball
Johannes Thiemann;205;basketball
Andreas Obst;191;basketball
Lean Bergmann;187;ice hockey
Marcel Brandt;175;ice hockey
Andrea Eder;189;ice hockey
Yasin Ehliz;177;ice hockey
Markus Eisenschmid;183;ice hockey
Daniel Fischbuch;180;ice hockey
Leon Gawanke;186;ice hockey
Korbinian Holzer;190;ice hockey
Maximilian Kammerer;185;ice hockey
Maximilian Kastner;180;ice hockey
Marcel Michaelis;180;ice hockey
Moritz Müller;187;ice hockey
Marcel Noebels;191;ice hockey
Marco Nowak;188;ice hockey
Matthias Plachts;184;ice hockey
Lukas Reichel;183;ice hockey
Yannic Seidenberg;170;ice hockey
Frederik Tiffels;183;ice hockey
Parker Tuomie;178;ice hockey
ColinObush Ukbekile;186;ice hockey
Fabio Wagner;183;ice hockey
Tim Wohlgemuth;183;ice hockey
Felix Brückmann;180;ice hockey
Daniel Fießinger;194;ice hockey
Mathias Niederberger;180;ice hockey
;183;water polo
;185;water polo
;189;water polo
;190;water polo
;198;water polo
;191;water polo
;193;water polo
;185;water polo
;199;water polo
;190;water polo
;203;water polo
;200;water polo
;203;water polo
;196;water polo
;200;water polo
;180;water polo
